id,name,first_air_date,popularity,vote_average,vote_count,status,in_production,num_seasons,num_episodes,genres,type,original_language,origin_country,avg_episode_runtime,show_age_days,days_since_last_episode,keywords,last_air_date,us_content_rating,imdb_id,created_by,homepage
255779,Bet,2025-05-15,6.9682,6.607,84,Returning Series,True,1,10,"Drama, Mystery, Crime",Scripted,en,CA,,251.0,251.0,"gambling, high school, boarding school, based on comic, betting",2025-05-15,TV-MA,tt32063523,Simon Barry,https://www.netflix.com/title/81713952
233629,Bodies,2023-10-19,6.9591,7.167,481,Ended,False,1,8,"Crime, Mystery, Sci-Fi & Fantasy, Drama",Miniseries,en,GB,,825.0,825.0,"london, england, detective, secret society, time travel, time loop",2023-10-19,TV-MA,tt18347622,Paul Tomalin,https://www.netflix.com/title/81252916
262920,The Asset,2025-10-27,6.9484,7.169,62,Returning Series,True,1,6,"Drama, Crime",Scripted,da,DK,,86.0,86.0,"new identity, undercover agent, thriller",2025-10-27,TV-MA,tt33293130,,https://www.netflix.com/title/81683146
97173,Behind Her Eyes,2021-02-17,6.9484,7.332,648,Ended,False,1,6,Drama,Miniseries,en,GB,50.0,1799.0,1799.0,"london, england, based on novel or book, husband wife relationship, friendship, supernatural",2021-02-17,TV-MA,tt9698442,Steve Lightfoot,https://www.netflix.com/title/80244630
232766,Mercy for None,2025-06-06,6.9033,7.735,130,Ended,False,1,7,"Action & Adventure, Drama",Miniseries,ko,KR,,229.0,229.0,"investigation, miniseries, death, death of brother, aggressive",2025-06-06,TV-MA,tt29650530,,https://www.netflix.com/title/81702777
96481,Rise of Empires: Ottoman,2020-01-24,6.8932,7.48,333,Ended,False,2,12,"Documentary, War & Politics, Action & Adventure",Scripted,en,US,44.0,2189.0,1119.0,"turkey, byzantium, istanbul, turkey, conquest, 15th century",2022-12-29,,tt9244578,,https://www.netflix.com/title/80990771
87049,Firefly Lane,2021-02-03,6.8737,7.749,293,Ended,False,2,26,Drama,Scripted,en,US,,1813.0,1000.0,"based on novel or book, 1970s, female friendship, bond, melodrama",2023-04-27,TV-MA,tt9012876,Maggie Friedman,https://www.netflix.com/title/80994340
87689,Warrior Nun,2020-07-02,6.8733,7.951,1278,Canceled,False,2,18,"Action & Adventure, Drama, Sci-Fi & Fantasy",Scripted,en,US,42.0,2029.0,1168.0,"angel, vatican (holy see), pope, nun, supernatural",2022-11-10,TV-MA,tt9059350,Simon Barry,https://www.netflix.com/title/80242724
117830,Tomb Raider: The Legend of Lara Croft,2024-10-10,6.8561,6.314,132,Ended,False,2,16,"Action & Adventure, Animation",Scripted,en,US,,468.0,41.0,"treasure hunt, based on video game, adventurer, loving, chinese mythology",2025-12-11,TV-14,tt13930822,,https://www.netflix.com/title/81361105
255251,Sean Combs: The Reckoning,2025-12-02,6.8475,7.0,55,Ended,False,1,4,"Documentary, Crime",Miniseries,en,US,,50.0,50.0,"rape, hip-hop, investigation, miniseries, sex trafficking",2025-12-02,TV-MA,tt33473000,,https://www.netflix.com/title/81906780
80743,Insatiable,2018-08-10,6.825,7.764,1681,Canceled,False,2,22,"Drama, Comedy",Scripted,en,US,45.0,2721.0,2294.0,"beauty contest, high school, bullying, revenge, murder",2019-10-11,TV-MA,tt6487482,Lauren Gussis,https://www.netflix.com/title/80179905
238084,Trigger,2025-07-25,6.785,7.651,73,Ended,False,1,10,"Action & Adventure, Drama, Crime",Miniseries,ko,KR,47.0,180.0,180.0,"firearm, disaster, guns, thriller",2025-07-25,TV-MA,tt27898511,Kwon Oh-seung,https://www.netflix.com/title/81696655
93785,Barbarians,2020-10-23,6.7355,7.286,639,Canceled,False,2,12,"Action & Adventure, Drama",Scripted,de,DE,45.0,1916.0,1188.0,"roman empire, invasion, barbarian, 1st century, warriors",2022-10-21,TV-MA,tt9184986,"Jan Martin Scharf, Andreas Heckmann, Arne Nolting",https://www.netflix.com/title/81024039
219652,The Frog,2024-08-23,6.7336,7.3,120,Ended,False,1,8,"Mystery, Crime, Drama",Miniseries,ko,KR,,516.0,516.0,"miniseries, secluded cabin, uninvited guest, remote inn, suspense thriller",2024-08-23,TV-MA,tt26767508,Mo Wan-il,https://www.netflix.com/title/81654427
81133,Story of Yanxi Palace,2018-07-19,6.7067,8.4,32,Ended,False,1,70,Drama,Scripted,zh,CN,45.0,2743.0,2701.0,"obsession, concubine, harem, revenge, romance",2018-08-30,,tt8865016,"Hui Kaidong, Wen Deguang",
82700,Baby,2018-11-30,6.6894,7.916,890,Ended,False,3,18,Drama,Scripted,it,IT,50.0,2609.0,1953.0,"alcohol, rome, italy, sexual abuse, high school, drug use",2020-09-16,TV-MA,tt7645192,"Andrea De Sica, Antonio Le Fosse, Giacomo Mazzariol, Marco Raspanti, Romolo Re Salvador, Eleonora Trucchi",https://www.netflix.com/title/80211634
281401,Finding Her Edge,2026-01-22,6.675,4.0,1,Returning Series,True,1,6,Drama,Scripted,en,CA,,-1.0,,"based on novel or book, love, romance, ice skating, teen drama",,,tt35495058,,https://www.netflix.com/title/81940247
72633,She's Gotta Have It,2017-11-23,6.6555,6.3,56,Canceled,False,2,19,Comedy,Scripted,en,US,30.0,2981.0,2434.0,"new york city, romcom, social issues, steamy, witty",2019-05-24,TV-MA,tt3713588,Spike Lee,https://www.netflix.com/title/80117554
115857,Daughter from Another Mother,2021-01-20,6.6242,7.6,1250,Ended,False,3,27,"Comedy, Drama",Scripted,es,MX,40.0,1827.0,1123.0,"mother, female friendship, daughter, motherhood, switched at birth",2022-12-25,TV-MA,tt11937732,"Carolina Rivera, Fernando Sariñana",https://www.netflix.com/title/81002483
227004,The Brothers Sun,2024-01-04,6.6093,7.6,197,Canceled,False,1,8,"Drama, Action & Adventure, Crime, Comedy",Scripted,en,US,,748.0,748.0,"brotherhood, brother, taiwan, dark comedy, organized crime",2024-01-04,TV-MA,tt17632862,"Brad Falchuk, Byron Wu",https://www.netflix.com/title/81389634
111111,Blood of Zeus,2020-10-27,6.6081,7.761,595,Ended,False,3,24,"Animation, Action & Adventure, Sci-Fi & Fantasy",Scripted,en,US,,1912.0,258.0,"greek mythology, god, ancient greece, dark fantasy, demigod",2025-05-08,TV-MA,tt10009170,"Vlas Parlapanides, Charley Parlapanides",https://www.netflix.com/title/81001988
195359,Transatlantic,2023-04-07,6.6005,6.38,75,Ended,False,1,7,"Drama, War & Politics",Miniseries,de,DE,50.0,1020.0,1020.0,"france, based on novel or book, holocaust (shoah), world war ii, nazi",2023-04-07,TV-14,tt15441266,"Anna Winger, Daniel Hendler",https://www.netflix.com/title/81473474
90293,Ghost in the Shell: SAC_2045,2020-04-23,6.5788,6.4,141,Ended,False,2,24,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy",Scripted,ja,JP,25.0,2099.0,1339.0,"capitalism, police, mecha, distant future, internet",2022-05-23,TV-14,tt9466298,"Shinji Aramaki, Kenji Kamiyama",https://www.ghostintheshell-sac2045.jp/
247522,Tires,2024-05-23,6.564,6.453,64,Returning Series,True,2,18,Comedy,Scripted,en,US,,608.0,230.0,"office, car mechanic, work, workplace, business",2025-06-05,TV-MA,tt31491435,"Shane Gillis, McKeever, Steve Gerben",https://www.netflix.com/title/81758875
